Age,Gender,Annual Income,Monthly Income,Employment Status,Years of Employment,Education,Marital Status,Loan Amount,Loan Purpose,Interest Rate,Loan Term,Credit Score,Debt-to-Income Ratio,Number of Existing Loans,Number of Credit Cards,Previous Loan Defaults,Savings Balance,Monthly Expenses,Property Ownership,Dependents,Risk Level
33,Male,114100.0,9508.33,Employed,1.4,Bachelor,Divorced,52800.0,Home Improvement,9.11,36,681.0,0.13,2,4,0,,4509.51,Mortgage,0,Medium Risk
18,Female,13200.0,1100.0,Unemployed,0.0,Associate,Married,4700.0,Business,24.97,36,566.0,0.1,0,1,3,100.0,1602.65,Mortgage,0,High Risk
70,Male,28700.0,2391.67,Retired,29.0,Associate,Single,12500.0,Auto,9.22,36,732.0,0.24,1,1,0,27300.0,2040.72,Rent,0,Medium Risk
29,Female,48900.0,4075.0,Employed,9.4,High School,Married,8700.0,Education,21.1,60,575.0,0.14,1,5,0,1700.0,3003.08,Rent,4,Medium Risk
66,Male,42800.0,3566.67,Retired,37.0,Bachelor,Single,5200.0,Business,20.56,60,559.0,0.14,0,3,0,1400.0,2629.06,Mortgage,0,High Risk
24,Male,44300.0,3691.67,Self-Employed,1.0,High School,Divorced,9400.0,Debt Consolidation,15.61,12,608.0,0.16,1,1,3,18300.0,2050.99,Rent,0,High Risk
73,Female,15200.0,1266.67,Retired,19.0,Associate,Married,5400.0,Education,18.46,36,596.0,0.13,0,6,0,1800.0,928.1,Rent,0,Medium Risk
30,Female,100800.0,8400.0,Employed,1.9,Master,Single,9900.0,Auto,13.34,36,715.0,0.1,0,5,0,21300.0,4268.1,Mortgage,2,Low Risk
22,Male,125500.0,10458.33,Employed,1.6,Bachelor,Single,8400.0,Debt Consolidation,18.05,36,496.0,0.06,1,3,3,7800.0,3683.54,Rent,0,High Risk
65,Non-Binary,197000.0,16416.67,Employed,36.8,Master,Married,24500.0,Auto,12.28,12,734.0,0.06,1,3,0,33500.0,5640.23,Mortgage,0,Low Risk
32,Female,56700.0,4725.0,Employed,13.7,Associate,Single,28000.0,Home Improvement,11.99,60,733.0,0.3,3,2,0,9700.0,2751.4,Mortgage,2,Medium Risk
20,Female,109300.0,9108.33,Self-Employed,1.9,Bachelor,Married,12900.0,Home Improvement,18.25,36,593.0,0.1,0,6,3,9000.0,3183.88,Rent,0,High Risk
21,Male,10100.0,841.67,Unemployed,0.0,Bachelor,Single,2500.0,Debt Consolidation,24.89,60,543.0,0.61,1,5,1,200.0,806.68,Rent,0,High Risk
40,Female,84600.0,7050.0,Employed,5.8,Master,Married,25200.0,Debt Consolidation,11.85,60,708.0,0.11,1,2,0,17600.0,4504.81,Rent,2,Medium Risk
36,Female,56300.0,4691.67,Employed,4.0,Associate,Married,26800.0,Home Improvement,11.04,60,691.0,0.13,0,5,0,14600.0,3557.33,Mortgage,3,Low Risk
56,Non-Binary,23000.0,1916.67,Employed,14.6,High School,Single,4400.0,Home Improvement,9.64,60,741.0,0.33,1,3,0,5700.0,1380.43,Mortgage,1,Low Risk
63,Male,7800.0,650.0,Unemployed,,Bachelor,Married,2000.0,Debt Consolidation,12.29,12,679.0,0.18,0,3,0,0.0,1279.53,Mortgage,0,Medium Risk
27,Male,87900.0,7325.0,Employed,4.8,Bachelor,Single,12100.0,Education,17.03,12,644.0,0.07,0,3,0,5400.0,3346.01,Rent,3,Medium Risk
69,Male,15800.0,1316.67,Retired,17.0,High School,Married,2000.0,Home Improvement,10.18,24,702.0,0.16,0,3,0,600.0,1638.62,Mortgage,0,Low Risk
43,Male,77200.0,6433.33,Employed,19.5,Bachelor,Married,10700.0,Home Improvement,12.61,24,692.0,0.08,0,7,0,18500.0,2453.75,Own,0,Low Risk
50,Female,59800.0,4983.33,Employed,,Associate,Divorced,3500.0,Auto,13.26,36,720.0,0.18,2,7,1,8500.0,3328.04,Own,0,Low Risk
73,Female,14000.0,1166.67,Retired,44.0,High School,Married,5000.0,Auto,17.32,36,,0.41,1,3,0,1300.0,1030.62,Mortgage,0,High Risk
62,Female,34200.0,2850.0,Employed,28.5,High School,Single,4000.0,Business,8.81,60,770.0,0.42,3,4,0,6900.0,1784.65,Mortgage,0,Low Risk
62,Male,178000.0,14833.33,Self-Employed,24.9,Doctorate,Divorced,37400.0,Debt Consolidation,9.47,36,772.0,0.14,2,9,0,41300.0,6599.74,Mortgage,0,Low Risk
45,Female,58200.0,4850.0,Employed,16.8,High School,Widowed,3000.0,Debt Consolidation,17.03,60,621.0,0.05,0,3,2,2600.0,1980.49,Rent,0,High Risk
65,Female,30600.0,2550.0,Self-Employed,27.3,High School,Divorced,2100.0,Debt Consolidation,17.09,24,663.0,0.33,2,6,0,,1354.69,Mortgage,0,Medium Risk
40,Male,75700.0,6308.33,Employed,2.5,Bachelor,Divorced,13100.0,Debt Consolidation,12.11,24,,0.25,4,7,1,400.0,3001.03,Rent,1,High Risk
39,Female,11900.0,991.67,Unemployed,0.0,Bachelor,Single,4200.0,Education,18.25,24,568.0,0.29,0,3,0,0.0,1890.26,Rent,3,High Risk
25,Female,8400.0,700.0,Unemployed,0.0,Bachelor,Single,1200.0,Home Improvement,22.33,36,468.0,0.24,0,2,0,,1468.96,Rent,2,High Risk
41,Female,133100.0,11091.67,Employed,4.9,Bachelor,Single,6600.0,Home Improvement,4.52,36,850.0,0.08,1,6,0,83800.0,5613.46,Mortgage,0,Low Risk
54,Female,204700.0,17058.33,Employed,4.8,Master,Divorced,34200.0,Home Improvement,5.49,24,815.0,0.08,1,6,0,258500.0,7628.62,Mortgage,0,Low Risk
31,Female,46400.0,3866.67,Employed,4.7,High School,Divorced,3300.0,Home Improvement,15.13,36,642.0,0.25,2,7,0,0.0,2141.72,Own,1,Medium Risk
32,Male,176500.0,14708.33,Employed,8.2,Doctorate,Married,92700.0,Home Improvement,6.36,24,839.0,0.06,0,9,0,53100.0,5015.84,Mortgage,1,Low Risk
36,Female,53000.0,4416.67,Employed,13.7,Bachelor,Married,14900.0,Business,9.38,36,729.0,0.57,5,7,0,2700.0,1997.81,Rent,0,High Risk
33,Female,86100.0,7175.0,Employed,1.9,Associate,Single,24500.0,Home Improvement,15.74,36,634.0,0.19,1,6,0,22400.0,4065.16,Mortgage,1,Medium Risk
51,Male,172600.0,14383.33,Employed,22.0,Bachelor,Married,32800.0,Debt Consolidation,7.03,60,806.0,0.07,1,4,0,,4759.64,Mortgage,1,Low Risk
57,Male,147800.0,12316.67,Employed,16.9,Master,Married,25100.0,Auto,15.17,24,659.0,0.07,1,6,0,21200.0,3589.31,Rent,0,Medium Risk
